Year	Fatalities	Resident Population (Thousands)	Fatality Rate per 100,000 Population	Licensed Drivers (Thousands)	Fatality Rate per 100,000 Licensed Drivers	Registered Motor Vehicles (Thousands)	Fatality Rate per 100,000 Registered Vehicles	Vehicle Miles Traveled (Billions)	Fatality Rate per 100 Million VMT	
1994	40716	260327	15.64	175403	23.21	192497	21.15	2358	1.73	
1995	41817	262803	15.91	176628	23.68	197065	21.22	2423	1.73	
1996	42065	265229	15.86	179539	23.43	201631	20.86	2484	1.69	
1997	42013	267784	15.69	182709	22.99	203568	20.64	2552	1.65	
1998	41501	270248	15.36	184861	22.45	208076	19.95	2628	1.58	
1999	41717	272691	15.30	187170	22.29	212685	19.61	2690	1.55	
2000	41945	282162	14.87	190625	22.00	217028	19.33	2747	1.53	
2001	42196	284969	14.81	191276	22.06	221230	19.07	2796	1.51	
2002	43005	287625	14.95	194602	22.10	225685	19.06	2856	1.51	
2003	42884	290108	14.78	196166	21.86	230633	18.59	2890	1.48	
2004	42836	292805	14.63	198889	21.54	237949	18.00	2965	1.44	
2005	43510	295517	14.72	200549	21.70	245628	17.71	2989	1.46	
2006	42708	298380	14.31	202810	21.06	251415	16.99	3014	1.42	
2007	41259	301231	13.70	205742	20.05	257472	16.02	3031	1.36	
2008	37423	304094	12.31	208321	17.96	259360	14.43	2977	1.26	
2009	33883	306772	11.05	209618	16.16	258958	13.08	2957	1.15	
2010	32999	309330	10.67	210115	15.71	257312	12.82	2967	1.11	
2011	32367	311592	10.39	211875	15.28	257512	12.57	2946	1.10	
